variable_name,data_type,measurement_scale,possible_values,case_source,justification,ml_relevance
participated_feedback_session,Numeric (binary),Nominal - Binary (0/1),0 or 1,"Case: CIO ""designed several initiatives to solicit feedback from diverse stakeholders and regularly engage them."" Feedback sessions were central to the participatory approach.",Measures stakeholder engagement and participatory culture. Feedback loops are a key data domain in the Digital Culture and Leadership governance framework.,Binary feature. Correlates with communication_effectiveness_score and transparency_perception_score.
is_change_agent,Numeric (binary),Nominal - Binary (0/1),0 or 1,"Case: CIO focused on ""empowering IT change agents supporting each bureau and field offices"" and ""creative problem solvers who were able to propose new ideas.""",Identifies employees who embraced the transformation and became champions. Change agents were the cultural catalysts. Their prevalence over time indicates cultural transformation depth.,Binary target variable for classification models (predicting who becomes a change agent). Correlates with IT roles and early engagement.
intrapreneur_assigned,Numeric (binary),Nominal - Binary (0/1),0 or 1,"Case: ""CIO assigned intrapreneurs within each bureau to understand their needs"" and ""encouraged the development of and often implanted intrapreneurs to serve as a bridge to the IT department.""","Indicates bureau-level change support structure. Intrapreneurs served as liaisons between IT and business units, critical for cross-functional digital culture development.",Binary feature with late emergence. Correlates with bureau-level transformation progress. Interaction with role_category may be predictive.
quick_wins_experienced_count,Numeric (integer),Ratio,0 to 5,"Case: CHC modernization ($450K vs $3.2M), Office 365 rollout, virtual desktop deployment, Speed App (#4 on iOS App Store), Operation Server Lift.",Counts tangible modernization successes each employee experienced. Quick wins were the primary mechanism for overcoming resistance and building momentum per Lesson 2.,Integer feature (0-5). Strong positive correlation with cultural_sentiment_score (0.598). Key predictor of cultural transformation.
digital_tool_adoption_score,Numeric (continuous),Interval/Ratio (1-10),1.0 to 9.65,"Case: Rollout of Office 365, virtual desktop, BYOD policy, and cloud-based platforms replaced aging on-premises tools.",Measures proficiency and usage of new digital tools. From the governance framework: technology adoption indices are a data domain for monitoring digital evolution.,Continuous feature with strong positive trend. Correlates with training hours and quarter index. Expected interaction with role_category.
collaboration_cross_bureau_index,Numeric (continuous),Interval/Ratio (1-10),1.0 to 9.49,"Case: ""18 bureaus and offices has the potential for creating misunderstandings and competition."" Bray sought to ""break silos across the FCC.""",Measures cross-functional collaboration - a key cultural indicator. Breaking silos was both a technical goal (data-centric operations) and a cultural transformation goal.,Continuous feature. Moderate correlation with other culture metrics. Use as predictor of engagement or as target for collaboration improvement models.
communication_effectiveness_score,Numeric (continuous),Interval/Ratio (1-10),1.0 to 9.36,"Case: CIO's blog, Twitter (110K followers), transparent status updates during the Sept 2015 migration crisis, regular stakeholder engagement.",Captures the perceived quality of internal communication. From the governance framework: communication efficacy is a data domain for Digital Culture and Leadership OKRs.,Continuous predictor of sentiment and engagement. Correlates with blog_engagement_score and transparency_perception_score.
feedback_frequency_score,Numeric (continuous),Interval/Ratio (1-10),1.0 to 8.56,"Case: CIO collected perspectives from ""both long-serving and new employees,"" notice boards for posting issues, and regular feedback sessions.",Measures how frequently employees give and receive feedback. Feedback loops were the cultural infrastructure for continuous improvement and psychological safety.,Continuous feature. Correlates with communication_effectiveness and transparency metrics. Predictor of engagement and innovation.
telework_adoption_score,Numeric (continuous),Interval/Ratio (1-10),1.0 to 10.0,"Case: ""Improve employee telework & mobility"" was one of 7 modernization tracks. Office 365 and virtual desktop enabled remote work.",Tracks adoption of flexible work arrangements. Telework capability is both a digital infrastructure outcome and a cultural flexibility indicator.,Continuous feature. Field operations staff show lower scores (role interaction). Predictor of digital culture maturity.
blog_engagement_score,Numeric (continuous),Interval/Ratio (1-10),1.0 to 9.66,"Case: ""CIO started a blog which explained his vision and strategy and updated all internal and external stakeholders."" Used for transparent communication.",Measures engagement with leadership communication channels. The blog was a primary tool for cultural alignment and transparency.,Continuous feature. Strong correlation with transparency_perception_score (0.609). Predictor of leadership_confidence_score.
twitter_following_cio,Numeric (binary),Nominal - Binary (0/1),0 or 1,"Case: Dr. Bray was recognized as ""the most social CIO in the world"" with a ""highly active blog and over 110,000 followers on Twitter.""",Binary indicator of engagement with external social media communication. Signals openness to new communication paradigms and leadership connection.,Binary feature. IT staff more likely to follow. Correlates with digital literacy and engagement scores.
transparency_perception_score,Numeric (continuous),Interval/Ratio (1-10),1.0 to 9.62,"Case: CIO communicated openly about delays during the Sept 2015 migration crisis; blog provided regular updates; ""increase transparency & system usability"" was a modernization track.","Measures perceived organizational transparency. Transparency was both a core value (competence, integrity, benevolence) and a cultural transformation mechanism.",Continuous feature. Moderate correlation with blog engagement and leadership confidence. Target for transparency-focused OKRs.
security_posture_score,Numeric (continuous),Interval/Ratio (1-10),1.0 to 9.23,"Case: ""Strengthen FCC's IT security posture"" was one of 7 modernization tracks. Legacy systems were ""prone to cyber-attacks."" Cloud migration improved security.",Measures perceived IT security strength. Security concerns were a major source of employee anxiety; improving security posture reduced fear and increased cloud confidence.,Continuous feature. Strong negative correlation with it_om_budget_ratio_pct (-0.669) and security_incidents_quarter. Predictor of cultural sentiment.
years_since_last_training,Numeric (continuous),Ratio,0.0 to ~13.2 (declining over time as training ramps up),"Case: Prior to 2013, fragmented modernization meant inconsistent training. Bray introduced systematic digital skill development programs.",Measures recency of skill development. Decreasing values indicate active capability building. Inverse indicator of training investment intensity.,Continuous feature. Inversely correlates with digital_training_hours_quarter and digital_tool_adoption_score. Smaller values indicate more current skills.
