period_quarter,employee_id,employee_type,tenure_years,role_category,bureau_office,prior_cio_changes_experienced,cloud_migration_phase,legacy_systems_in_bureau,systems_migrated_in_bureau,it_om_budget_ratio_pct,security_incidents_quarter,employee_engagement_score,leadership_confidence_score,change_readiness_index,cultural_sentiment_score,change_resistance_index,digital_training_hours_quarter,innovation_ideas_submitted,participated_in_scrum,participated_feedback_session,is_change_agent,intrapreneur_assigned,quick_wins_experienced_count,digital_tool_adoption_score,collaboration_cross_bureau_index,communication_effectiveness_score,feedback_frequency_score,telework_adoption_score,blog_engagement_score,twitter_following_cio,transparency_perception_score,security_posture_score,years_since_last_training
2013-Q3,FCC_E028,federal_employee,17.5,program_staff,Wireline_Competition,1,inventory,8,0,84.3,2,2.42,3.12,1.23,2.21,9.68,1,0,0,0,0,0,0,4.8,1.59,2.24,2.06,1.77,2.59,0,3.29,3.36,0.2
2013-Q3,FCC_E029,federal_employee,35.7,field_operations,Media_Bureau,2,inventory,10,0,84.3,2,1.51,2.16,1.68,1.77,8.72,1,0,0,0,0,0,0,2.9,3.6,2.59,1.0,1.82,1.57,0,2.39,1.85,2.1
2013-Q3,FCC_E030,federal_employee,10.0,program_staff,Office_of_Communications,2,inventory,12,0,84.3,2,2.66,3.55,2.98,1.26,9.39,0,0,0,0,0,0,0,3.86,4.28,1.0,2.0,3.88,5.26,1,2.86,2.92,4.61
2013-Q3,FCC_E031,federal_employee,13.1,administrative,Office_of_Managing_Director,4,inventory,13,0,84.3,2,3.18,1.05,1.82,1.06,9.4,0,0,0,0,0,0,0,2.31,1.0,1.52,2.46,2.56,1.0,0,3.63,3.21,1.74
2013-Q3,FCC_E032,federal_employee,15.1,administrative,International_Bureau,6,inventory,13,0,84.3,2,3.18,1.0,3.59,1.0,7.6,1,0,0,0,0,0,0,2.68,1.31,4.08,1.49,1.92,1.2,0,3.12,3.28,3.18
2013-Q3,FCC_E033,federal_employee,7.0,administrative,Wireless_Telecommunications,7,inventory,9,0,84.3,2,2.06,3.47,1.13,1.0,9.8,0,0,0,0,0,0,0,2.39,3.85,3.46,1.37,1.0,1.0,0,2.2,2.92,4.23
2013-Q3,FCC_E034,contractor,21.2,IT_staff,International_Bureau,6,inventory,6,0,84.3,2,2.98,3.97,2.56,2.37,8.17,0,0,0,0,0,0,0,2.19,3.16,3.44,2.14,3.94,3.47,0,4.24,1.86,4.96
2013-Q3,FCC_E035,contractor,20.5,field_operations,Wireless_Telecommunications,2,inventory,6,0,84.3,2,2.56,2.63,3.06,2.27,7.38,0,0,0,0,0,0,0,3.93,2.55,2.65,1.0,1.0,1.76,0,4.31,3.48,2.81
2013-Q3,FCC_E036,contractor,16.1,program_staff,Office_of_Strategic_Planning,5,inventory,14,0,84.3,2,1.0,1.93,2.03,2.06,9.14,0,0,0,0,0,0,0,5.05,3.09,2.56,2.17,2.27,3.41,0,2.1,1.11,0.53
2013-Q3,FCC_E037,federal_employee,12.3,IT_staff,Office_of_Communications,5,inventory,13,0,84.3,2,2.9,2.23,3.01,1.3,8.35,0,1,0,0,0,0,0,4.79,2.52,1.35,3.06,2.84,1.5,0,2.94,1.66,0.88
2013-Q3,FCC_E038,federal_employee,6.5,IT_staff,Office_of_General_Counsel,4,inventory,12,0,84.3,2,2.93,2.2,1.57,1.69,10.0,0,0,0,0,0,0,0,1.59,1.0,2.21,2.44,1.0,1.04,0,1.56,3.28,0.2
2013-Q3,FCC_E039,contractor,12.1,administrative,Consumer_Governmental_Affairs,4,inventory,8,0,84.3,2,1.2,1.79,1.99,2.46,9.86,1,0,0,0,0,0,0,1.0,2.51,3.15,2.94,3.38,1.0,0,3.5,3.22,3.04
2013-Q3,FCC_E040,federal_employee,20.0,field_operations,Media_Bureau,3,inventory,6,0,84.3,2,1.0,2.41,3.24,1.56,7.17,1,0,0,0,0,0,0,1.0,2.25,2.7,1.0,1.81,1.86,0,2.84,3.75,5.09
2013-Q3,FCC_E041,federal_employee,14.2,IT_staff,Office_of_Economics_Analytics,2,inventory,6,0,84.3,2,1.46,2.15,2.73,3.17,7.87,0,0,0,1,1,0,0,2.14,2.02,2.56,3.53,1.0,3.16,0,5.29,3.94,0.85
2013-Q3,FCC_E042,federal_employee,12.9,administrative,Wireless_Telecommunications,3,inventory,12,0,84.3,2,1.19,2.45,1.0,1.47,9.9,0,0,0,0,1,0,0,1.18,2.85,3.88,3.75,1.0,1.0,0,2.43,1.42,0.8
2013-Q3,FCC_E043,federal_employee,18.5,program_staff,Office_of_Communications,8,inventory,7,0,84.3,2,2.55,3.02,2.53,1.81,8.36,0,0,0,0,0,0,0,2.02,3.65,2.42,2.0,3.1,3.52,0,2.68,2.23,0.62
2013-Q3,FCC_E044,contractor,21.8,administrative,Office_of_Media_Relations,5,inventory,7,0,84.3,2,2.94,2.37,2.54,1.11,8.57,1,0,0,0,0,0,0,2.1,4.18,3.37,2.28,2.14,5.59,0,3.98,2.29,1.19
2013-Q3,FCC_E045,federal_employee,17.0,IT_staff,Office_of_Strategic_Planning,0,inventory,6,0,84.3,2,3.51,2.46,3.4,4.46,8.06,0,0,0,0,0,0,0,3.02,3.76,3.17,2.91,1.0,1.0,0,4.35,2.24,2.66
2013-Q3,FCC_E046,contractor,17.6,field_operations,Public_Safety,2,inventory,8,0,84.3,2,2.93,3.55,3.03,2.09,7.74,0,0,0,0,0,0,0,1.0,3.97,3.46,3.31,1.0,1.0,0,1.75,2.79,0.79
2013-Q3,FCC_E047,federal_employee,23.7,program_staff,Public_Safety,5,inventory,11,0,84.3,2,3.92,2.12,2.14,1.94,9.87,0,0,0,0,0,0,0,1.0,3.81,3.93,3.22,1.86,1.0,0,3.19,4.07,0.27
2013-Q3,FCC_E048,federal_employee,16.6,policy_analyst,Office_of_Workplace_Diversity,4,inventory,13,0,84.3,2,3.13,1.41,1.17,2.02,9.98,0,0,0,0,0,0,0,2.17,2.73,2.64,1.21,3.38,1.0,0,3.9,4.79,7.43
2013-Q3,FCC_E049,federal_employee,13.6,IT_staff,Office_of_General_Counsel,5,inventory,9,0,84.3,2,2.58,2.15,1.0,1.67,9.99,0,0,0,1,0,0,0,1.46,3.59,3.08,2.32,1.29,1.2,0,2.04,1.15,2.03
2013-Q3,FCC_E050,federal_employee,19.5,program_staff,Wireline_Competition,9,inventory,9,0,84.3,2,1.0,1.0,1.22,1.0,10.0,0,0,0,0,0,0,0,1.67,2.34,1.73,1.0,1.93,2.13,0,3.46,4.28,0.42
2013-Q3,FCC_E051,contractor,14.7,IT_staff,Wireless_Telecommunications,6,inventory,10,0,84.3,2,2.37,2.04,3.83,2.37,7.66,0,0,0,0,0,0,0,3.94,3.95,2.43,2.41,1.0,1.0,0,2.76,3.43,0.56
2013-Q3,FCC_E052,contractor,14.2,policy_analyst,Office_of_Chief_Information_Officer,3,inventory,9,0,84.3,2,4.32,2.66,1.89,1.75,8.83,1,0,0,0,0,0,0,1.42,1.7,2.47,3.57,2.6,1.0,0,2.62,2.3,0.5
2013-Q3,FCC_E053,contractor,22.4,policy_analyst,Wireless_Telecommunications,7,inventory,11,0,84.3,2,1.67,1.32,1.3,1.09,9.33,1,0,0,0,0,0,0,1.81,3.48,3.29,1.0,2.42,3.74,0,1.0,3.12,0.55
2013-Q3,FCC_E054,contractor,14.5,program_staff,Enforcement_Bureau,8,inventory,11,0,84.3,2,2.46,1.57,1.0,1.0,10.0,0,0,0,0,0,0,0,2.18,1.12,3.22,1.05,1.0,1.0,0,4.78,3.0,1.41
2013-Q3,FCC_E055,federal_employee,1.0,field_operations,Office_of_Communications,1,inventory,9,0,84.3,2,2.57,2.72,2.97,1.92,7.63,0,0,0,0,0,0,0,2.18,3.61,2.72,3.92,1.0,1.0,0,1.0,3.93,0.33
2013-Q4,FCC_E001,federal_employee,9.4,program_staff,Office_of_Communications,1,inventory,9,0,85.5,3,5.19,3.85,3.82,1.0,7.86,1,0,0,1,0,0,0,3.72,1.13,2.6,1.99,1.0,2.25,0,4.25,3.14,0.6
2013-Q4,FCC_E002,contractor,8.1,IT_staff,Office_of_Economics_Analytics,6,inventory,11,0,85.5,3,4.26,2.85,1.79,2.58,9.25,1,0,0,0,0,0,0,3.82,1.0,2.93,3.53,1.44,3.17,0,4.08,4.28,0.37
2013-Q4,FCC_E003,contractor,19.9,program_staff,Wireline_Competition,8,inventory,9,0,85.5,3,3.2,3.19,1.53,1.0,9.92,0,0,0,0,0,0,0,2.02,2.44,3.37,1.65,2.2,1.02,0,2.91,2.57,0.53
2013-Q4,FCC_E004,federal_employee,12.3,policy_analyst,Wireless_Telecommunications,5,inventory,11,0,85.5,3,3.96,3.1,1.66,1.55,9.71,0,0,0,0,0,0,0,2.4,1.87,3.61,3.02,1.0,1.98,0,1.38,3.15,0.2
2013-Q4,FCC_E005,federal_employee,7.4,program_staff,Office_of_Communications,7,inventory,11,0,85.5,3,1.82,2.48,1.6,1.71,9.36,0,0,0,0,0,0,0,1.73,4.12,4.94,2.06,4.25,1.57,0,3.52,1.0,6.83
2013-Q4,FCC_E006,federal_employee,10.2,administrative,Office_of_Media_Relations,7,inventory,12,0,85.5,3,2.02,1.97,2.09,1.0,8.74,0,0,0,0,0,0,0,3.08,3.58,2.44,2.07,1.65,2.29,0,2.03,2.61,1.66
2013-Q4,FCC_E007,federal_employee,8.7,field_operations,Enforcement_Bureau,7,inventory,8,0,85.5,3,2.32,1.98,3.33,1.0,8.83,0,0,0,0,0,0,0,2.34,1.64,3.07,3.08,1.23,2.77,0,5.64,3.13,0.2
2013-Q4,FCC_E008,contractor,16.7,program_staff,Enforcement_Bureau,2,inventory,11,0,85.5,3,2.13,3.3,2.83,1.22,8.29,0,0,0,1,0,0,0,2.41,2.74,3.04,2.65,2.98,2.9,0,5.38,1.94,0.31
2013-Q4,FCC_E009,federal_employee,19.0,policy_analyst,Office_of_Managing_Director,3,inventory,9,0,85.5,3,3.59,4.08,1.34,2.5,10.0,0,0,0,0,0,0,0,3.93,2.5,3.99,5.72,2.45,1.16,0,4.07,4.1,0.35
2013-Q4,FCC_E010,contractor,20.4,policy_analyst,Office_of_Managing_Director,2,inventory,11,0,85.5,3,4.52,1.56,4.75,1.36,5.99,1,0,0,0,0,0,0,2.12,3.24,4.51,2.48,1.95,2.73,0,2.53,2.47,2.91
2013-Q4,FCC_E011,federal_employee,20.9,program_staff,Media_Bureau,3,inventory,8,0,85.5,3,3.94,3.22,2.59,3.09,8.57,0,0,0,0,0,0,0,1.64,1.05,2.92,1.0,2.05,1.0,0,4.72,3.52,1.46
2013-Q4,FCC_E012,contractor,19.8,administrative,Office_of_Communications,2,inventory,9,0,85.5,3,2.04,2.89,1.68,4.1,10.0,2,0,0,1,0,0,0,3.22,3.05,3.28,2.46,1.39,1.8,0,3.22,5.17,0.2
2013-Q4,FCC_E013,contractor,15.0,program_staff,Office_of_Communications,7,inventory,8,0,85.5,3,1.9,2.49,2.42,1.0,8.61,2,0,0,0,0,0,0,3.91,1.64,2.61,3.2,3.25,2.76,0,2.63,4.97,4.31
2013-Q4,FCC_E014,federal_employee,11.8,program_staff,Media_Bureau,2,inventory,12,0,85.5,3,4.04,4.12,2.34,1.88,8.4,0,0,1,0,0,0,0,2.17,1.7,2.21,1.0,1.14,3.01,0,4.72,3.7,0.49
2013-Q4,FCC_E015,federal_employee,6.5,IT_staff,Wireless_Telecommunications,3,inventory,10,0,85.5,3,5.04,3.53,3.76,2.9,7.38,1,0,0,0,0,0,0,3.3,2.37,1.7,2.41,2.35,1.0,0,3.89,1.76,4.61
2013-Q4,FCC_E016,federal_employee,22.1,administrative,Office_of_Legislative_Affairs,2,inventory,7,0,85.5,3,2.66,1.63,1.85,4.86,8.77,1,0,0,0,0,0,0,1.54,2.71,4.12,2.93,2.4,1.93,0,3.75,2.34,0.36
2013-Q4,FCC_E017,federal_employee,14.4,administrative,Office_of_Economics_Analytics,4,inventory,12,0,85.5,3,2.22,1.75,2.14,1.0,9.38,1,0,0,0,0,0,0,3.06,1.0,3.14,2.84,1.47,1.0,0,2.48,3.43,10.13
2013-Q4,FCC_E018,federal_employee,13.0,IT_staff,Office_of_General_Counsel,6,inventory,11,0,85.5,3,2.37,3.64,1.03,1.49,9.45,0,0,0,1,1,0,0,4.98,3.57,1.1,1.28,1.0,2.8,0,3.39,2.79,0.2
2013-Q4,FCC_E019,federal_employee,22.6,program_staff,International_Bureau,1,inventory,14,0,85.5,3,4.39,3.31,2.59,3.14,7.69,0,0,0,0,0,0,0,4.05,1.56,5.31,1.6,1.0,2.15,0,4.03,3.45,0.91
2013-Q4,FCC_E020,federal_employee,10.1,policy_analyst,Public_Safety,1,inventory,6,0,85.5,3,2.79,3.02,2.76,1.29,8.37,0,0,0,0,0,0,0,2.41,2.7,1.86,2.87,5.93,1.32,0,4.02,3.53,1.03
2013-Q4,FCC_E021,federal_employee,20.5,program_staff,Office_of_General_Counsel,3,inventory,9,0,85.5,3,4.13,3.45,1.0,3.9,10.0,0,0,0,0,0,0,0,1.0,3.37,2.98,1.0,1.0,3.25,0,2.71,3.34,2.54
2013-Q4,FCC_E022,federal_employee,17.3,IT_staff,Media_Bureau,3,inventory,7,0,85.5,3,3.88,4.1,3.94,3.39,7.27,0,0,0,0,0,0,0,3.04,2.55,1.72,2.41,2.61,4.38,0,3.88,2.64,0.72
2013-Q4,FCC_E023,federal_employee,9.3,administrative,Office_of_Communications,4,inventory,7,0,85.5,3,3.05,2.74,3.29,1.13,6.78,0,0,0,0,0,0,0,3.99,2.24,3.91,3.12,4.01,1.52,0,2.44,2.19,0.51
2013-Q4,FCC_E024,federal_employee,15.0,policy_analyst,Media_Bureau,5,inventory,9,0,85.5,3,2.87,2.22,2.41,1.44,8.37,0,0,1,0,0,0,0,1.49,1.98,2.4,3.32,2.89,3.21,0,3.12,2.73,1.88
2013-Q4,FCC_E025,federal_employee,21.3,program_staff,Administrative_Operations,2,inventory,8,0,85.5,3,2.32,4.45,5.13,1.18,5.03,0,0,0,0,0,0,0,1.76,5.29,3.3,1.08,1.95,1.0,0,2.54,4.06,3.45
2013-Q4,FCC_E026,contractor,20.0,field_operations,Office_of_Strategic_Planning,8,inventory,12,0,85.5,3,3.05,1.15,1.11,1.0,9.04,0,0,0,0,0,0,0,3.61,4.61,6.56,1.62,2.63,1.78,0,3.84,4.47,0.95
2013-Q4,FCC_E027,federal_employee,24.5,field_operations,Administrative_Operations,3,inventory,11,0,85.5,3,3.67,4.15,1.81,3.19,9.13,0,0,0,0,0,0,0,2.08,4.39,3.51,2.79,1.0,1.0,0,3.85,3.84,0.8
2013-Q4,FCC_E028,federal_employee,17.5,program_staff,Wireline_Competition,1,inventory,13,0,85.5,3,4.7,3.83,2.19,2.89,8.44,0,0,0,0,0,0,0,1.96,4.94,2.75,1.0,3.44,3.19,0,4.54,5.07,0.97
2013-Q4,FCC_E029,federal_employee,35.7,field_operations,Media_Bureau,2,inventory,13,0,85.5,3,2.71,2.94,1.0,4.23,10.0,1,0,0,0,0,0,0,3.55,5.1,3.01,1.99,1.91,1.0,0,4.96,3.91,7.1
2013-Q4,FCC_E030,federal_employee,10.0,program_staff,Office_of_Communications,2,inventory,12,0,85.5,3,2.37,5.2,4.69,1.31,6.69,0,0,0,0,0,0,0,1.3,1.89,2.37,2.14,1.6,1.94,0,3.32,1.62,0.64
2013-Q4,FCC_E031,federal_employee,13.1,administrative,Office_of_Managing_Director,4,inventory,6,0,85.5,3,3.0,4.43,3.26,1.01,8.23,2,0,0,0,0,0,0,3.09,1.62,5.38,1.55,1.76,1.0,0,3.37,4.56,0.51
2013-Q4,FCC_E032,federal_employee,15.1,administrative,International_Bureau,6,inventory,14,0,85.5,3,2.68,3.64,1.0,1.0,10.0,0,1,0,1,0,0,0,1.77,1.59,3.74,1.0,1.18,1.0,0,4.55,2.92,0.44
2013-Q4,FCC_E033,federal_employee,7.0,administrative,Wireless_Telecommunications,7,inventory,7,0,85.5,3,1.0,1.64,2.91,1.0,7.46,0,0,1,0,0,0,0,1.31,5.5,2.64,2.17,4.14,1.74,1,4.38,3.61,0.49
2013-Q4,FCC_E034,contractor,21.2,IT_staff,International_Bureau,6,inventory,7,0,85.5,3,2.48,4.15,3.0,1.33,7.32,0,1,0,0,0,0,0,5.51,2.61,2.08,2.58,1.72,2.75,0,3.38,1.0,0.98
2013-Q4,FCC_E035,contractor,20.5,field_operations,Wireless_Telecommunications,2,inventory,10,0,85.5,3,2.41,2.81,2.8,2.42,7.21,0,0,0,0,0,0,0,2.5,2.81,3.94,3.8,1.22,2.28,0,3.01,2.41,5.72
2013-Q4,FCC_E036,contractor,16.1,program_staff,Office_of_Strategic_Planning,5,inventory,13,0,85.5,3,2.72,2.29,2.63,1.0,8.1,1,0,0,1,0,0,0,1.56,1.92,4.27,1.44,3.2,1.0,0,3.11,4.2,1.45
2013-Q4,FCC_E037,federal_employee,12.3,IT_staff,Office_of_Communications,5,inventory,8,0,85.5,3,4.93,4.69,3.53,1.67,7.21,0,0,0,0,1,0,0,2.45,3.9,3.7,2.38,1.0,1.04,0,4.02,3.47,1.88
2013-Q4,FCC_E038,federal_employee,6.5,IT_staff,Office_of_General_Counsel,4,inventory,6,0,85.5,3,3.69,2.61,5.63,1.0,5.38,1,1,0,1,0,0,0,3.01,4.58,3.65,3.95,4.69,1.85,0,4.26,3.01,2.49
2013-Q4,FCC_E039,contractor,12.1,administrative,Consumer_Governmental_Affairs,4,inventory,13,0,85.5,3,1.3,3.46,2.86,1.0,7.56,1,0,0,0,0,0,0,2.49,2.44,3.67,5.07,1.0,2.5,0,4.0,3.58,1.81
2013-Q4,FCC_E040,federal_employee,20.0,field_operations,Media_Bureau,3,inventory,10,0,85.5,3,1.43,2.41,2.48,2.36,8.57,1,0,0,0,0,0,0,2.18,5.15,2.41,1.68,1.87,1.72,0,5.11,3.54,0.2
2013-Q4,FCC_E041,federal_employee,14.2,IT_staff,Office_of_Economics_Analytics,2,inventory,9,0,85.5,3,3.06,4.52,3.9,2.99,7.58,0,0,0,0,0,0,0,4.38,2.39,1.92,2.37,4.02,3.44,0,2.24,3.0,0.43
2013-Q4,FCC_E042,federal_employee,12.9,administrative,Wireless_Telecommunications,3,inventory,11,0,85.5,3,2.73,2.57,4.89,2.83,4.89,0,0,0,0,0,0,0,1.41,3.62,4.84,2.3,2.9,3.8,1,4.65,1.3,1.12
2013-Q4,FCC_E043,federal_employee,18.5,program_staff,Office_of_Communications,8,inventory,8,0,85.5,3,2.2,2.69,1.67,1.1,9.12,0,0,0,0,0,0,0,1.0,2.72,2.47,1.0,2.49,1.06,0,3.26,2.67,1.07
2013-Q4,FCC_E044,contractor,21.8,administrative,Office_of_Media_Relations,5,inventory,10,0,85.5,3,2.58,3.25,1.2,2.59,8.83,0,0,0,0,0,0,0,2.52,3.99,3.5,2.42,2.25,1.79,0,3.3,2.79,2.22
2013-Q4,FCC_E045,federal_employee,17.0,IT_staff,Office_of_Strategic_Planning,0,inventory,11,0,85.5,3,2.89,2.91,2.99,3.61,8.17,0,0,0,0,0,0,0,3.78,3.15,2.86,2.58,1.0,2.97,0,4.0,2.66,2.09
2013-Q4,FCC_E046,contractor,17.6,field_operations,Public_Safety,2,inventory,7,0,85.5,3,2.2,4.34,3.32,2.67,8.16,0,0,0,0,0,0,0,1.54,1.43,3.47,2.02,1.24,2.69,0,1.91,3.91,3.56
2013-Q4,FCC_E047,federal_employee,23.7,program_staff,Public_Safety,5,inventory,14,0,85.5,3,3.05,2.58,2.47,1.62,8.34,1,0,0,0,0,0,0,1.21,3.8,3.07,3.68,4.58,2.23,0,3.94,3.57,8.07
2013-Q4,FCC_E048,federal_employee,16.6,policy_analyst,Office_of_Workplace_Diversity,4,inventory,8,0,85.5,3,3.11,2.86,1.3,2.14,10.0,3,0,0,0,0,0,0,1.77,4.63,3.35,2.49,1.0,2.84,0,3.5,4.33,1.86
2013-Q4,FCC_E049,federal_employee,13.6,IT_staff,Office_of_General_Counsel,5,inventory,7,0,85.5,3,2.56,4.02,2.33,3.2,9.74,0,0,0,1,0,0,0,3.31,2.25,3.68,1.85,1.0,1.73,1,4.35,2.67,0.91
